"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KLF10",0,3.14907573177734,0.529,0.02,0
"TJP1",0,3.04820647561314,0.532,0.026,0
"CDH1",0,2.69942415075878,0.632,0.052,0
"SLC20A1",0,2.48741742941379,0.574,0.034,0
"PPP1R15A",0,2.39786289100265,0.836,0.142,0
"ID2",0,2.31903621372068,0.697,0.086,0
"NEAT1",0,2.02531375037188,0.906,0.399,0
"XIAP",0,1.98719474972608,0.591,0.049,0
"JUN",0,1.96998462855791,0.867,0.355,0
"INTS6",0,1.95921451373662,0.625,0.077,0
"ARID4B",0,1.94652407603948,0.594,0.053,0
"JUNB",0,1.8767372898272,0.868,0.203,0
"SKIL",0,1.85167775617552,0.59,0.055,0
"SPTBN1",0,1.81801862648971,0.739,0.114,0
"LDLR",0,1.77651029126011,0.621,0.071,0
"RND3",0,1.69775368778113,0.686,0.104,0
"IFRD1",0,1.69456488120472,0.673,0.084,0
"NFKBIZ",0,1.63638046277127,0.593,0.059,0
"CTNNB1",0,1.61944462648253,0.69,0.104,0
"WSB1",0,1.48260588870325,0.667,0.094,0
"CCNL1",0,1.46923532133423,0.719,0.126,0
"SLC38A2",0,1.39836922811905,0.764,0.151,0
"UBE2D3",2.80977255385164e-307,1.30528136129042,0.744,0.136,1.07400746098425e-302
"AFF4",2.88244554762747e-302,1.27125327402771,0.602,0.065,1.10178598612512e-297
"KLF6",3.1160207337695e-300,1.65909242622659,0.803,0.21,1.19106776527605e-295
"GADD45B",6.25739341188324e-299,1.62970796550303,0.669,0.104,2.39182605775825e-294
"SPEN",1.0164311763881e-296,1.53934696051579,0.588,0.061,3.88520652862586e-292
"MIDN",1.3994404241339e-295,1.35841748252897,0.675,0.108,5.34922107720941e-291
"VEGFA",1.34645140389055e-294,1.27779003275495,0.719,0.132,5.14667584623125e-290
"BRD2",3.57240577170642e-294,1.4218455330331,0.73,0.143,1.36551638217706e-289
"AKAP9",1.47222613872108e-291,1.29179671735415,0.719,0.135,5.62743719264744e-287
"KLF4",1.5840895292665e-291,1.68773910122655,0.62,0.082,6.05502381666829e-287
"GPBP1",1.98375111066208e-291,1.13967217522401,0.657,0.097,7.58269024539474e-287
"MAFF",1.58149697914021e-289,1.50921073029556,0.537,0.042,6.04511405306554e-285
"ZFP36",1.03465355732038e-288,1.32729119563453,0.725,0.138,3.95485975750141e-284
"TRA2A",1.65711817027516e-288,1.28040616024208,0.593,0.068,6.33416849405977e-284
"BTG2",1.70571509242819e-288,1.44032882714478,0.681,0.116,6.51992536929753e-284
"KCNQ1OT1",3.62868946190049e-288,2.24092080947438,0.532,0.044,1.38703025991685e-283
"ATF3",2.81741518138768e-287,1.79464803873169,0.687,0.13,1.07692877893363e-282
"FOSB",1.48367372036154e-286,1.86785954996867,0.753,0.181,5.67119442870994e-282
"IER5",1.23804084214168e-285,1.59728762432834,0.591,0.07,4.73228731500237e-281
"GOLGB1",4.67442813810866e-285,1.36235649840594,0.705,0.135,1.78675341151065e-280
"CEMIP2",3.59761791359373e-283,1.42895554152756,0.575,0.064,1.37515347129207e-278
"HSPA1B",3.72047222030696e-283,1.64654878040237,0.784,0.21,1.42211330149013e-278
"VMP1",9.99470567999267e-283,1.60622142388638,0.659,0.114,3.8203762991204e-278
"DDX3X",1.79017425959112e-282,1.24360147238604,0.743,0.151,6.84276208986111e-278
"PPP1R10",4.52380329886812e-281,1.26813811882103,0.63,0.09,1.72917857295935e-276
"GPRC5A",4.67437860734745e-279,1.73395578350025,0.669,0.121,1.78673447887249e-274
"IFNGR2",7.80658975976444e-279,2.0098441703861,0.502,0.034,2.98399086977236e-274
"ASH1L",5.10551823659244e-278,1.40986408633184,0.576,0.066,1.95153329075509e-273
"HDAC1",2.48507771028e-277,1.37420645979851,0.63,0.093,9.49896103977427e-273
"EGR1",3.71237699383732e-277,1.49032363399862,0.679,0.122,1.41901898212438e-272
"SLC5A3",5.56096347367603e-277,1.98074818857943,0.522,0.044,2.12562267817793e-272
"LMO7",1.22982720605588e-276,1.37909499168568,0.641,0.101,4.70089151242799e-272
"RSRP1",3.25430012071727e-276,1.14663805890175,0.69,0.125,1.24392367814297e-271
"MXD1",4.08294753664209e-275,1.5071938942521,0.567,0.065,1.56066586640607e-270
"CLK1",2.16126883548822e-274,1.09718389201455,0.612,0.084,8.26123399677018e-270
"BOD1L1",3.24182620300695e-274,1.18976075182299,0.59,0.074,1.23915564783738e-269
"TOB1",2.92664153820119e-273,1.13077284571038,0.631,0.095,1.11867946156202e-268
"MCL1",5.43799442143263e-273,1.17011328095014,0.745,0.158,2.07861898764841e-268
"RHOB",7.78027452202513e-273,1.37978630781672,0.729,0.157,2.97393213329889e-268
"TRIB1",1.73852661668631e-272,1.82409753666368,0.587,0.08,6.64534413962175e-268
