"","gene_name","module","kME"
"1","LAPTM4B","turquoise",0.816548600429061
"2","C8orf59","turquoise",0.788297134483421
"3","RPL8","turquoise",0.776535820962472
"4","SNRPB","turquoise",0.772779264190064
"5","RPL30","turquoise",0.769344236929123
"6","LY6E","turquoise",0.766957322173401
"7","RPL7","turquoise",0.764003476219548
"8","AREG","turquoise",0.752904630017089
"9","NDUFA4","turquoise",0.750331347637319
"10","EIF3E","turquoise",0.749195825176933
"11","PRAC1","turquoise",0.746569942231353
"12","EIF3H","turquoise",0.746141551657264
"13","PSMA7","turquoise",0.742305975518478
"14","RPS4Y1","turquoise",0.734721408845258
"15","RPL5","turquoise",0.724678461426406
"16","UQCRB","turquoise",0.723874160228245
"17","EREG","turquoise",0.7202757350159
"18","COX6C","turquoise",0.718287441073777
"19","ATP5MC2","turquoise",0.717952370365266
"20","SLC25A6","turquoise",0.716104336388509
"21","LDHB","turquoise",0.712915464556777
"22","MTDH","turquoise",0.712694116427419
"23","RPL37A","turquoise",0.710948201559442
"24","RPL15","turquoise",0.706126528907254
"25","CXCL14","turquoise",0.705948703887358
"26","NACA","turquoise",0.705896200537923
"27","AGR3","turquoise",0.704598572245971
"28","RPS6","turquoise",0.703742422720116
"29","NDUFB9","turquoise",0.703631831917445
"30","MRPL15","turquoise",0.701778449011337
"31","MRPS26","turquoise",0.701285104669488
"32","NME1","turquoise",0.700208697740297
"33","PEBP1","turquoise",0.69953268815385
"34","EEF1D","turquoise",0.698976429323888
"35","RPS18","turquoise",0.69490271861741
"36","GSTM3","turquoise",0.694753775815313
"37","RPL9","turquoise",0.692516474556118
"38","LEFTY1","turquoise",0.691332592039923
"39","RPS5","turquoise",0.686473636835886
"40","RPS3","turquoise",0.683702477059753
"41","NDUFB2","turquoise",0.683221518496723
"42","RARRES2","turquoise",0.683075976182653
"43","RPL23A","turquoise",0.682766243159149
"44","RPL19","turquoise",0.680217900907572
"45","RPS14","turquoise",0.680121122968559
"46","RPS13","turquoise",0.680002639674262
"47","RPL10A","turquoise",0.679139118793348
"48","MRPL13","turquoise",0.679072035951047
"49","CYC1","turquoise",0.678191288243379
"50","C20orf27","turquoise",0.676634996519145
"51","MDK","turquoise",0.67494260896513
"52","MPC2","turquoise",0.673216311141965
"53","PRDX4","turquoise",0.671968910273381
"54","ERGIC3","turquoise",0.671641448025186
"55","PSMB1","turquoise",0.669926543403993
"56","EEF1B2","turquoise",0.669532473376178
"57","RPL35A","turquoise",0.667530888983814
"58","RPL3","turquoise",0.666086909234522
"59","MRPS33","turquoise",0.664976122411654
"60","PPP1R14B","turquoise",0.66485719614007
"61","DBI","turquoise",0.663992010117312
"62","RPS3A","turquoise",0.66375187296747
"63","ATP5MC3","turquoise",0.66321726461055
"64","MRPS23","turquoise",0.663178120459977
"65","ELOC","turquoise",0.662490139139166
"66","PRKDC","turquoise",0.660582487492657
"67","MINOS1","turquoise",0.660070324315366
"68","RPL11","turquoise",0.659390384426915
"69","SSB","turquoise",0.657550123100455
"70","UBE2V2","turquoise",0.657168876097924
"71","RPS8","turquoise",0.65701293746883
"72","RPL22","turquoise",0.656690436423262
"73","RPS4X","turquoise",0.65650436339461
"74","PSMB5","turquoise",0.655948093666813
"75","MDH2","turquoise",0.65509804068639
"76","PPA1","turquoise",0.655026906152465
"77","PTP4A3","turquoise",0.654066080160762
"78","RPN2","turquoise",0.651762338702972
"79","HOXB13","turquoise",0.651414772937322
"80","PARK7","turquoise",0.650875538425654
"81","PRDX6","turquoise",0.650130561816068
"82","DLX5","turquoise",0.649986366524416
"83","RPL23","turquoise",0.649120524035431
"84","ITPA","turquoise",0.648336913906357
"85","UQCRH","turquoise",0.647003749304405
"86","RPL41","turquoise",0.646637877721147
"87","CCT6A","turquoise",0.646598188237236
"88","RPL14","turquoise",0.646180555260409
"89","RPL7A","turquoise",0.646010122332233
"90","RPS27A","turquoise",0.644594561289696
"91","PRDX2","turquoise",0.643947304192907
"92","PAFAH1B3","turquoise",0.643945354951567
"93","CPNE3","turquoise",0.643859748538546
"94","CCT3","turquoise",0.643590426382655
"95","QPRT","turquoise",0.643553263722021
"96","PCBD1","turquoise",0.643305136668233
"97","SMIM37","turquoise",0.642370640760502
"98","TMEM230","turquoise",0.642146725313779
"99","RPS2","turquoise",0.640515120401495
"100","C19orf70","turquoise",0.640070231627637
"101","SRGN","brown",0.685754403319711
"102","PTPRC","brown",0.638478353129164
"103","CXCR4","brown",0.626800887546527
"104","VIM","brown",0.615555405673077
"105","IL7R","brown",0.597510733287402
"106","CD69","brown",0.537424839893951
"107","CD3D","brown",0.526478619212615
"108","TRBC2","brown",0.522715234457344
"109","TNFAIP3","brown",0.519463702641687
"110","CD2","brown",0.51847124327692
"111","CYTIP","brown",0.514761012522715
"112","CREM","brown",0.514312414818551
"113","CD37","brown",0.506216508206826
"114","CD3E","brown",0.504534183687877
"115","RGS1","brown",0.504497856348
"116","SLC2A3","brown",0.498734023494074
"117","SLA","brown",0.488836827034198
"118","SYTL3","brown",0.487208863352929
"119","LCP1","brown",0.485653695983711
"120","ZNF331","brown",0.483703746832935
"121","CD48","brown",0.481045376284743
"122","FYN","brown",0.4798207505647
"123","LAPTM5","brown",0.474547173489623
"124","SPOCK2","brown",0.470909205346606
"125","CD3G","brown",0.469421479794933
"126","CCL5","brown",0.468871460326811
"127","TRAC","brown",0.465038585331427
"128","GMFG","brown",0.464651452298046
"129","HCST","brown",0.462829542063926
"130","CD53","brown",0.458233067872716
"131","GYPC","brown",0.453093455015075
"132","IKZF1","brown",0.451836973005745
"133","EVL","brown",0.446658896860356
"134","CD7","brown",0.443429047907298
"135","FYB1","brown",0.442104301890962
"136","ETS1","brown",0.441871865712867
"137","SMAP2","brown",0.439181889251187
"138","SAMSN1","brown",0.438691008123797
"139","LTB","brown",0.438093095596764
"140","NR3C1","brown",0.436383610748034
"141","GLIPR1","brown",0.434173194888003
"142","WIPF1","brown",0.431134764431894
"143","CD96","brown",0.424507651330701
"144","CLEC2D","brown",0.423802770547342
"145","RUNX3","brown",0.421475776713017
"146","TRBC1","brown",0.421142189693389
"147","KLRB1","brown",0.411950095609556
"148","RGCC","brown",0.405041862380339
"149","GNG2","brown",0.404129632599195
"150","CLEC2B","brown",0.403292131349171
"151","ACAP1","brown",0.396530956731882
"152","EMP3","brown",0.396160824576255
"153","ITM2A","brown",0.392080743537649
"154","FNBP1","brown",0.391697409343443
"155","GPR183","brown",0.390924406395071
"156","CD52","brown",0.389492943753177
"157","APBB1IP","brown",0.382568089110772
"158","RHOH","brown",0.381987476697945
"159","ITGA4","brown",0.381403166658759
"160","CST7","brown",0.380804744032549
"161","ANXA1","brown",0.378443870124941
"162","CD247","brown",0.378038284424895
"163","CELF2","brown",0.37700103269495
"164","PDE4B","brown",0.376781809466288
"165","TAGAP","brown",0.376491046221798
"166","PTGER4","brown",0.376129138654141
"167","FKBP5","brown",0.375153335509777
"168","CAMK4","brown",0.369328551954347
"169","ARHGAP9","brown",0.368183910492898
"170","EVI2A","brown",0.367200806181268
"171","HCLS1","brown",0.366952113919648
"172","FMNL1","brown",0.365170067823785
"173","CCL4","brown",0.36034519021694
"174","CORO1A","brown",0.358433265628843
"175","STAT4","brown",0.356465138130141
"176","PTPN22","brown",0.353391606119448
"177","SH2D1A","brown",0.350994523839149
"178","TGFB1","brown",0.349773884818653
"179","RNF125","brown",0.349558097262581
"180","CD6","brown",0.348673257077597
"181","RORA","brown",0.348587052880676
"182","SMCHD1","brown",0.347563583946781
"183","GZMA","brown",0.346793550742103
"184","EMB","brown",0.346422562383764
"185","LIMD2","brown",0.344925283211942
"186","RGS2","brown",0.344768464175683
"187","NKG7","brown",0.344640838660247
"188","ARHGDIB","brown",0.344490028730977
"189","ITK","brown",0.342550203314846
"190","EVI2B","brown",0.341865828216615
"191","ALOX5AP","brown",0.341149837411537
"192","ANKRD44","brown",0.339986610794897
"193","GPR171","brown",0.339919129148089
"194","RIPOR2","brown",0.33983203305524
"195","BIRC3","brown",0.336798091631256
"196","FAM107B","brown",0.334732008450451
"197","CTSW","brown",0.33455522650045
"198","TRAT1","brown",0.331767360331854
"199","LBH","brown",0.329784693712732
"200","SEPT6","brown",0.328806127763593
"201","TM4SF4","blue",0.815997312553903
"202","TACSTD2","blue",0.7545938506451
"203","KLK1","blue",0.73886810613228
"204","AL121761.2","blue",0.720971354002876
"205","GCNT3","blue",0.686195356719499
"206","XIST","blue",0.683236093595062
"207","LMO4","blue",0.673840367780141
"208","GSN","blue",0.673349393712554
"209","MAGEA3","blue",0.662756454375947
"210","TM4SF5","blue",0.662133118968212
"211","RNASE1","blue",0.659159441390796
"212","RAMP1","blue",0.645700720597006
"213","MYH14","blue",0.643075231628
"214","KRT20","blue",0.629403898716146
"215","CXCL16","blue",0.624586853072925
"216","BCAS1","blue",0.621629428904441
"217","WIPF3","blue",0.620369936708508
"218","CD55","blue",0.618318185801522
"219","FCGBP","blue",0.61601647514377
"220","REG4","blue",0.613658610363512
"221","VSIG2","blue",0.60871064588447
"222","CDC42EP5","blue",0.601941501302561
"223","MYADM","blue",0.600182545217918
"224","MFGE8","blue",0.599774533115047
"225","MUC2","blue",0.594580769623955
"226","TRNP1","blue",0.58376334890566
"227","HMCN2","blue",0.57766991404847
"228","CSAG1","blue",0.57488170213318
"229","TFF1","blue",0.573875634739798
"230","NECTIN2","blue",0.569859287793998
"231","RRAS","blue",0.562909094724973
"232","FBXO32","blue",0.560673460988023
"233","NPC1L1","blue",0.560071622068342
"234","EPS8L1","blue",0.558111165193996
"235","PSTPIP1","blue",0.551023171025217
"236","ASS1","blue",0.542799875435019
"237","MACC1","blue",0.540259208696179
"238","COL16A1","blue",0.537866234333531
"239","NPW","blue",0.537210525670059
"240","ZNF600","blue",0.536161828505464
"241","LINC01133","blue",0.532579204287843
"242","RAP2B","blue",0.530209545096462
"243","GRHL1","blue",0.527057028977655
"244","MSLN","blue",0.525153751026908
"245","FER1L6","blue",0.524675269597535
"246","CREB3L1","blue",0.523709289163261
"247","TFF3","blue",0.522572724098511
"248","ACHE","blue",0.521131358660344
"249","SPINK4","blue",0.518457891570545
"250","C15orf48","blue",0.51662617309801
"251","MBOAT2","blue",0.512346333387381
"252","RARRES1","blue",0.512188407379907
"253","RBP4","blue",0.512017504060343
"254","POU6F2","blue",0.507415436208481
"255","CDKN2B","blue",0.505534391226632
"256","TFF2","blue",0.50528944570985
"257","MAGEA1","blue",0.504415148859259
"258","FSTL3","blue",0.504088896349805
"259","PLAC8","blue",0.501577572935114
"260","ITLN1","blue",0.496005333359803
"261","ANG","blue",0.49339917923665
"262","S100A4","blue",0.492339935653769
"263","PLA2G4C","blue",0.491223874315699
"264","ZNF701","blue",0.490040488068281
"265","TMC4","blue",0.487537452073004
"266","IL13RA1","blue",0.485302041367969
"267","WDR72","blue",0.484106553832161
"268","VNN1","blue",0.479736954649629
"269","MMP14","blue",0.478080354119138
"270","CACNA1A","blue",0.473521252804813
"271","IFI6","blue",0.473339523936529
"272","WFDC2","blue",0.472078307498723
"273","JOSD2","blue",0.471438269298716
